,Label,Title,Topic,Type,Category,Date/Time,Page,Kennziffer,Aktivität,Ort,User,Code,Referrer,Link,Benutzernamen.Column2,Status,Abfrage,Eingabe 1,Eingabe 2,Eingabe 3,Eingabe 4,Eingabe 5,Eingabe 6,Eingabe 7,Eingabe 8,Eingabe 9,Eingabe 10,Task,ResponsTask,Aufgabenniveau,Test,Testergebnis 1,Testergebnis 2
2568,ks1c1ue3_1,Holzklotz im Weltall,Kraft und Wirkung,Üben Grundwissen,Grundgrößen zur Kraft,13/10/2021 12:02:08,"KS1c1Ãœ3_1: Angabe, ob KrÃ¤fte wirken",KS1c1U3_1," Angabe, ob KrÃ¤fte wirken",ks1c1ue3_1-angabe-ob-kraefte-wirken,LBenutzer HE1021-924,HE1021-924,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1c-ueben-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1c-ueben-des-grundwissens/ks1c1ue3_1-angabe-ob-kraefte-wirken/,BE19UT,,,,,,,,,,,,,,,,,,
2569,ka1a1,,Kraft und Wirkung,Erarbeiten Grundwissen,Grundgrößen zur Kraft,13/10/2021 12:02:11,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-923,HE1021-923,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1k2_1a-verformung-und-bewegungsaenderung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,HA05AN,,,,,,,,,,,,,,,,,,
2570,ks1a1b4_1a,situation konstruieren kraftwirkung erkennbar,Kraft und Wirkung,Erarbeiten Grundwissen,Grundgrößen zur Kraft,13/10/2021 12:02:20,"KS1a1B4_1A: Situation konstruieren, Kraftwirkung erkennbar",KS1a1B4_1A," Situation konstruieren, Kraftwirkung erkennbar",ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar,LBenutzer HE1021-934,HE1021-934,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar/,KA16LY,,,,,,,,,,,,,,,,,,
2571,ks1a2,,Kraft als Vektor,Erarbeiten Grundwissen,Grundgrößen zur Kraft,13/10/2021 12:02:22,KS1a2: Kraft als Vektor,KS1a2, Kraft als Vektor,ks1a2-kraft-als-vektor,LBenutzer HE1021-923,HE1021-923,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ks1a2-kraft-als-vektor/,HA05AN,,,,,,,,,,,,,,,,,,
2572,ks1c1ue6_1,Kraft auf einer Kiste,Kraft und Wirkung,Üben Grundwissen,Grundgrößen zur Kraft,13/10/2021 12:02:23,"KS1c1Ãœ6_1: Situation konstruieren, Kraft erkennbar",KS1c1U6_1," Situation konstruieren, Kraft erkennbar",ks1c1ue6_1-situation-konstruieren-kraft-erkennbar,LBenutzer HE1021-937,HE1021-937,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1c-ueben-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1c-ueben-des-grundwissens/ks1c1ue6_1-situation-konstruieren-kraft-erkennbar/,KA01MA,,,,,,,,,,,,,,,,,,
2573,ka1a1,,Kraft und Wirkung,Erarbeiten Grundwissen,Grundgrößen zur Kraft,13/10/2021 12:02:25,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-927,HE1021-927,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b3_1a-identifizieren-durch-verformung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,ST01MA,,,,,,,,,,,,,,,,,,
2574,ks1a1k1_1a,keine aussage ueber kraft,Kraft und Wirkung,Erarbeiten Grundwissen,Grundgrößen zur Kraft,13/10/2021 12:02:32,KS1a1K1_1A: Keine Aussage Ã¼ber Kraft,KS1a1K1_1A, Keine Aussage Ã¼ber Kraft,ks1a1k1_1a-keine-aussage-ueber-kraft,LBenutzer HE1021-933,HE1021-933,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1k1_1a-keine-aussage-ueber-kraft/,SC24SY,,,,,,,,,,,,,,,,,,
2575,ks1a,,,Erarbeiten Grundwissen,Grundgrößen zur Kraft,13/10/2021 12:02:33,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer,LBenutzer,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,FR19CA,,,,,,,,,,,,,,,,,,
2576,Übersicht,,,,,13/10/2021 12:02:40,Kraft,Kraft,,kraft-2,LBenutzer,LBenutzer,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,FR19CA,,,,,,,,,,,,,,,,,,
2577,ka1a1,,Kraft und Wirkung,Erarbeiten Grundwissen,Grundgrößen zur Kraft,13/10/2021 12:02:41,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-934,HE1021-934,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,KA16LY,,,,,,,,,,,,,,,,,,
