,User,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
236,1,0,ks1a,28,2744,6,0,1477,-1
237,1,0,ks1ev1,32,2772,0,0,818,-1
238,1,0,ks1e,1348,2804,6,0,2825,-1
239,1,0,ks1ev1,574,4152,0,0,1392,-1
240,1,0,Übersicht,3,4726,6,0,2828,-1
241,1,0,Tour,27,4729,6,0,2855,-1
242,1,1,ks2a,11,4756,6,0,2866,-1
243,1,1,ks2a1,106,4767,4,0,2972,-1
244,1,1,ks2a1b1_1a,27,4873,5,0,2999,-1
245,1,1,ks2a1,3,4900,4,0,3002,-1
246,1,1,ks2a1b2_1a,21,4903,5,0,3023,-1
247,1,1,ks2a1b3_1a,7,4924,5,0,3030,-1
248,1,1,ks2a1,15,4931,4,0,3045,-1
249,1,1,ks2a1,74,4946,4,0,3119,-1
250,1,1,ks2a2,40,5020,4,0,3159,-1
251,1,1,ks2a2b1_1a,5,5060,5,0,3164,-1
252,1,1,ks2a2,6,5065,4,0,3170,-1
253,1,1,ks2a2b3_1a,29,5071,5,0,3199,-1
254,1,1,ks2a2,57,5100,4,0,3256,-1
255,1,1,ks2a2k3_1a,96,5157,3,0,1488,-1
256,1,1,ks2a2,15,5253,4,0,3271,-1
257,1,1,ks2a3,23,5268,4,0,3294,-1
258,1,1,ks2a4,90,5291,4,0,3384,-1
259,1,1,ks2a4b1_1a,57,5381,5,0,3441,-1
260,1,1,ks2a4,8,5438,4,0,3449,-1
261,1,1,ks2a4,2,5446,4,0,3451,-1
262,1,1,ks2a5,6,5448,4,0,3457,-1
263,1,1,ks2a4b2_1a,91,5454,5,0,3548,-1
264,1,1,ks2a5,10,5545,4,0,3558,-1
265,1,1,ks2a5b1_1a,5089,5555,5,0,8647,-1
266,1,1,Logout,157851,10644,6,0,166498,-1
267,1,1,Übersicht,5,168495,6,0,166503,-1
268,1,1,Tour,59,168500,6,0,166562,-1
269,1,1,ks2b1,32,168559,4,1,166594,-1
