,User,Topic,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
171,0,19,2,ks3b2b1_1a,74,47077392,5,1,170807,-1
172,0,19,2,ks3b2k2_1a,16,47077466,3,1,2665,-1
173,0,19,2,ks3b2,13,47077482,4,1,170820,-1
174,0,19,2,ks3b2k4_1a,14,47077495,3,1,2679,-1
175,0,19,2,ks3b2,93,47077509,4,1,170913,-1
176,0,19,2,ks3b2,4,47077602,4,1,170917,-1
177,0,20,2,ks3b1,457,47077606,4,1,171374,-1
178,0,20,2,ks3b1b1_1a,20,47078063,5,1,171394,-1
179,0,20,2,ks3b1,7,47078083,4,1,171401,-1
180,0,20,2,ks3b1b4_1a,40,47078090,5,1,171441,-1
181,0,20,2,ks3b1,5,47078130,4,1,171446,-1
182,0,20,2,ks3b1b3_1a,109,47078135,5,1,171555,-1
183,0,20,2,ks3b1k1_1a,2,47078244,3,1,2681,-1
184,0,20,2,ks3b1,27,47078246,4,1,171582,-1
185,0,-1,2,Logout,3,47078273,6,1,171585,-1
186,0,20,2,ks3b1,8,47078276,4,1,171593,-1
187,0,20,2,ks3b1k1_1a,0,47078284,3,1,2681,-1
188,1,-1,2,Tour,18,46904178,6,1,18,-1
189,1,-1,2,Übersicht,17,46904196,6,1,35,-1
190,1,-1,0,ks1a,26,46904213,6,0,61,-1
191,1,0,0,ka1a1,70,46904239,4,0,131,-1
192,1,0,0,ka1a1,3,46904309,4,0,134,-1
193,1,0,0,ks1a1b1_1a,67,46904312,5,0,201,-1
194,1,0,0,ks1a1b2_1a,10,46904379,5,0,211,-1
195,1,0,0,ka1a1,7,46904389,4,0,218,-1
196,1,0,0,ks1a1b3_1a,18,46904396,5,0,236,-1
197,1,0,0,ks1a1b3_1a,20,46904414,5,0,256,-1
198,1,0,0,ka1a1,4,46904434,4,0,260,-1
199,1,0,0,ks1a1b4_1a,32,46904438,5,0,292,-1
200,1,0,0,ks1a1k1_1a,9,46904470,3,0,9,-1
201,1,0,0,ka1a1,47,46904479,4,0,339,-1
202,1,0,0,ks1a1k1_1a,105,46904526,3,0,114,-1
203,1,0,0,ks1a1k2_1a,210,46904631,3,0,324,-1
204,1,0,0,ks1a1k3_1a,51,46904841,3,0,375,-1
205,1,1,0,ks1a2,17,46904892,4,0,356,-1
206,1,0,0,ka1a1,94,46904909,4,0,450,-1
207,1,1,0,ks1a2,5,46905003,4,0,455,-1
208,1,1,0,ks1a2b1_1a,67,46905008,5,0,522,-1
209,1,1,0,ks1a2b4_1a,48,46905075,5,0,570,-1
210,1,1,0,ks1a2,98,46905123,4,0,668,-1
211,1,1,0,ks1a2k1_1a,93,46905221,3,0,468,-1
212,1,1,0,ks1a2,164,46905314,4,0,832,-1
213,1,1,0,ks1a2k2_1a,46,46905478,3,0,514,-1
214,1,1,0,ks1a2,80,46905524,4,0,912,-1
215,1,1,0,ks1a2k4_1a,34,46905604,3,0,548,-1
216,1,1,0,ks1a2,18,46905638,4,0,930,-1
217,1,2,0,ks1a4,83,46905656,4,0,1013,-1
218,1,2,0,ks1a4b1_1a,19,46905739,5,0,1032,-1
219,1,2,0,ks1a4b2_1a,3,46905758,5,0,1035,-1
220,1,2,0,ks1a4,6,46905761,4,0,1041,-1
221,1,2,0,ks1a4,19,46905767,4,0,1060,-1
222,1,2,0,ks1a4b4_1a,10,46905786,5,0,1070,-1
223,1,2,0,ks1a4,10,46905796,4,0,1080,-1
224,1,2,0,ks1a4b3_1a,31,46905806,5,0,1111,-1
225,1,2,0,ks1a4,13,46905837,4,0,1124,-1
226,1,2,0,ks1a4k1_1a,1,46905850,3,0,549,-1
227,1,2,0,ks1a4,80,46905851,4,0,1204,-1
228,1,2,0,ks1a4,1,46905931,4,0,1205,-1
229,1,2,0,ks1a4k3_1a,191,46905932,3,0,740,-1
230,1,3,0,ks1a5,153,46906123,4,0,1358,-1
231,1,3,0,ks1a5b1_1a,6,46906276,5,0,1364,-1
232,1,3,0,ks1a5,65,46906282,4,0,1429,-1
233,1,3,0,ks1a5k3_1a,23,46906347,3,0,763,-1
234,1,3,0,ks1a5,20,46906370,4,0,1449,-1
235,1,-1,0,ks1c,23,46906390,1,0,786,-1
236,1,-1,0,ks1a,28,46906413,6,0,1477,-1
237,1,-1,0,ks1ev1,32,46906441,0,0,818,-1
238,1,-1,0,ks1e,1348,46906473,6,0,2825,-1
239,1,-1,0,ks1ev1,574,46907821,0,0,1392,-1
240,1,-1,0,Übersicht,3,46908395,6,0,2828,-1
241,1,-1,0,Tour,27,46908398,6,0,2855,-1
242,1,-1,1,ks2a,11,46908425,6,0,2866,-1
243,1,4,1,ks2a1,106,46908436,4,0,2972,-1
244,1,4,1,ks2a1b1_1a,27,46908542,5,0,2999,-1
245,1,4,1,ks2a1,3,46908569,4,0,3002,-1
246,1,4,1,ks2a1b2_1a,21,46908572,5,0,3023,-1
247,1,4,1,ks2a1b3_1a,7,46908593,5,0,3030,-1
248,1,4,1,ks2a1,15,46908600,4,0,3045,-1
249,1,4,1,ks2a1,74,46908615,4,0,3119,-1
250,1,5,1,ks2a2,40,46908689,4,0,3159,-1
251,1,5,1,ks2a2b1_1a,5,46908729,5,0,3164,-1
252,1,5,1,ks2a2,6,46908734,4,0,3170,-1
253,1,5,1,ks2a2b3_1a,29,46908740,5,0,3199,-1
254,1,5,1,ks2a2,57,46908769,4,0,3256,-1
255,1,5,1,ks2a2k3_1a,96,46908826,3,0,1488,-1
256,1,5,1,ks2a2,15,46908922,4,0,3271,-1
257,1,6,1,ks2a3,23,46908937,4,0,3294,-1
258,1,7,1,ks2a4,90,46908960,4,0,3384,-1
259,1,7,1,ks2a4b1_1a,57,46909050,5,0,3441,-1
260,1,7,1,ks2a4,8,46909107,4,0,3449,-1
261,1,7,1,ks2a4,2,46909115,4,0,3451,-1
262,1,8,1,ks2a5,6,46909117,4,0,3457,-1
263,1,7,1,ks2a4b2_1a,91,46909123,5,0,3548,-1
264,1,8,1,ks2a5,10,46909214,4,0,3558,-1
265,1,8,1,ks2a5b1_1a,5089,46909224,5,0,8647,-1
266,1,-1,1,Logout,157851,46914313,6,0,166498,-1
267,1,-1,1,Übersicht,5,47072164,6,0,166503,-1
268,1,-1,1,Tour,59,47072169,6,0,166562,-1
269,1,10,1,ks2b1,32,47072228,4,1,166594,-1
270,1,-1,1,ks2b,5,47072260,6,1,166599,-1
271,1,-1,1,ks2a,475,47072265,6,0,167074,-1
272,1,12,1,ks2b2,251,47072740,4,1,167325,-1
273,1,12,1,ks2b2,14,47072991,4,1,167339,-1
274,1,12,1,ks2b2b1_1a,235,47073005,5,1,167574,-1
275,1,-1,1,ks2b,60,47073240,6,1,167634,-1
276,1,-1,1,Übersicht,9,47073240,6,1,167643,-1
277,1,-1,2,ks3a,36,47073249,6,0,167679,-1
278,1,13,2,bs3a1,183,47073285,4,0,167862,-1
279,1,15,2,ks3a7,5,47073468,4,0,167867,-1
280,1,13,2,bs3a1,33,47073473,4,0,167900,-1
281,1,13,2,ks3a1k2_1a,318,47073506,3,0,1806,-1
282,1,15,2,ks3a2b1_1a,24,47073824,5,0,167924,-1
283,1,17,2,ks3a3,128,47073848,4,0,168052,-1
284,1,13,2,bs3a1,4,47073976,4,0,168056,-1
285,1,15,2,ks3a7,42,47073980,4,0,168098,-1
