Task,Date/Time,User,ResponsTask,Aufgabenniveau,Code
KS1c2U9_1,2021-10-04 12:06:21,HE1021-911,twr,mittel,SA20AN
KS1c2U9_1,2021-10-04 12:06:26,HE1021-909,twr,mittel,LI27AN
KS1a1K1_1,2021-10-04 12:06:36,HE1021-916,r,,CA31IT
KS1c1U3_1,2021-10-04 12:06:48,HE1021-900,twr,niedrig,OF29VL
KS1a1K1_1,2021-10-04 12:07:04,HE1021-914,r,,RE15AN
KS1a1K3_1,2021-10-04 12:07:25,HE1021-902,f,,HÄ09MO
KS1c6U2_1,2021-10-04 12:07:46,HE1021-905,twr,hoch,BÜ26LI
KS1c2U11_1,2021-10-04 12:08:15,HE1021-909,f,mittel,LI27AN
KS2c6U1_1,2021-10-04 12:09:05,HE1021-910,f,mittel,GI13SA
KS1c2U13_1,2021-10-04 12:09:27,HE1021-909,r,mittel,LI27AN
KS1c4U7_1,2021-10-04 12:09:31,HE1021-911,twr,mittel,SA20AN
KS1a1K4_1,2021-10-04 12:09:34,HE1021-902,twr,,HÄ09MO
KS1c6U5_1,2021-10-04 12:10:22,HE1021-905,f,hoch,BÜ26LI
KS1c5U8_1,2021-10-04 12:10:54,HE1021-911,twr,niedrig,SA20AN
KS1a1K2_1,2021-10-04 12:11:16,HE1021-914,f,,RE15AN
KS1c5U1_1,2021-10-04 12:12:12,HE1021-911,r,mittel,SA20AN
KS1a2K1_1,2021-10-04 12:12:19,HE1021-902,twr,,HÄ09MO
KS1c5U6_1,2021-10-04 12:13:09,HE1021-911,twr,hoch,SA20AN
KS1a1K2_1,2021-10-04 12:13:43,HE1021-916,r,,CA31IT
KS1c4U8_1,2021-10-04 12:13:54,HE1021-909,r,mittel,LI27AN
KS1a1K3_1,2021-10-04 12:14:13,HE1021-914,r,,RE15AN
KS1c6U4_1,2021-10-04 12:14:42,HE1021-911,twr,niedrig,SA20AN
KS1c5U1_1,2021-10-04 12:15:50,HE1021-909,r,mittel,LI27AN
KS1a2K2_1,2021-10-04 12:17:45,HE1021-902,twr,,HÄ09MO
KS1a1K3_1,2021-10-04 12:18:38,HE1021-916,twr,,CA31IT
KS1a2K3_1,2021-10-04 12:18:45,HE1021-902,f,,HÄ09MO
KD2a1K3_1,2021-10-04 12:20:07,HE1021-904,twr,,MA05HE
KS1a2K4_1,2021-10-04 12:21:45,HE1021-902,twr,,HÄ09MO
KS1c6U2_1,2021-10-04 12:22:02,HE1021-911,twr,hoch,SA20AN
KD2a1K4_1,2021-10-04 12:22:06,HE1021-904,,,MA05HE
KS2a1K1_1,2021-10-04 12:26:12,HE1021-915,twr,,LU28RE
KS1a1K4_1,2021-10-04 12:26:14,HE1021-916,twr,,CA31IT
KS1a4K1_1,2021-10-04 12:27:39,HE1021-902,r,,HÄ09MO
KS1a4K2_1,2021-10-04 12:29:07,HE1021-902,r,,HÄ09MO
KS1c1U3_1,2021-10-04 12:29:28,HE1021-908,r,niedrig,AS20UR
KD2a2K1_1,2021-10-04 12:30:29,HE1021-904,twr,,MA05HE
KD2a2K2_1,2021-10-04 12:32:13,HE1021-904,f,,MA05HE
KS1c2U13_1,2021-10-04 12:32:19,HE1021-910,twr,mittel,GI13SA
KS1a4K3_1,2021-10-04 12:32:29,HE1021-902,twr,,HÄ09MO
KS2c1U2_1,2021-10-04 12:33:04,HE1021-909,r,hoch,LI27AN
KS2c3U1_1,2021-10-04 12:35:10,HE1021-900,r,niedrig,OF29VL
KS1a4K4_1,2021-10-04 12:35:13,HE1021-902,r,,HÄ09MO
KS1a4K4_1,2021-10-04 12:35:13,HE1021-902,,,HÄ09MO
KS2c1U9_1,2021-10-04 12:35:17,HE1021-909,twr,,LI27AN
KS1a2K1_1,2021-10-04 12:35:50,HE1021-916,twr,,CA31IT
KD2a2K4_1,2021-10-04 12:36:02,HE1021-904,r,,MA05HE
KS2c2U1_1,2021-10-04 12:36:40,HE1021-909,twr,,LI27AN
KS2a1K1_1,2021-10-04 12:37:03,HE1021-912,r,,BR26AN
KS1a2K2_1,2021-10-04 12:37:18,HE1021-914,f,,RE15AN
KS2c2U2_1,2021-10-04 12:37:43,HE1021-909,r,,LI27AN
KD1a2K1_1,2021-10-04 12:38:29,HE1021-907,f,,GI11SI
KS1a5K1_1,2021-10-04 12:40:38,HE1021-902,r,,HÄ09MO
KD1a2K2_1,2021-10-04 12:41:40,HE1021-907,r,,GI11SI
KS1a5K2_1,2021-10-04 12:42:09,HE1021-902,r,,HÄ09MO
KS1a2K2_1,2021-10-04 12:42:50,HE1021-916,r,,CA31IT
KS1a2K3_1,2021-10-04 12:43:11,HE1021-914,r,,RE15AN
KS1a5K3_1,2021-10-04 12:43:45,HE1021-902,r,,HÄ09MO
KS1a2K4_1,2021-10-04 12:45:14,HE1021-914,twr,,RE15AN
KS1a5K4_1,2021-10-04 12:45:19,HE1021-902,r,,HÄ09MO
KD2a3K1_1,2021-10-04 12:45:35,HE1021-904,twr,,MA05HE
KS1c5U2_1,2021-10-04 12:46:13,HE1021-910,r,mittel,GI13SA
KS2c3U9_1,2021-10-04 12:46:15,HE1021-909,r,mittel,LI27AN
KD1a2K3_1,2021-10-04 12:46:30,HE1021-907,r,,GI11SI
KD2a3K2_1,2021-10-04 12:47:36,HE1021-904,twr,,MA05HE
KS1a2K3_1,2021-10-04 12:48:32,HE1021-916,twr,,CA31IT
KS2c3U2_1,2021-10-04 12:48:34,HE1021-909,r,hoch,LI27AN
KS1c6U4_1,2021-10-04 12:48:45,HE1021-910,r,niedrig,GI13SA
KD2a3K4_1,2021-10-04 12:50:37,HE1021-904,r,,MA05HE
KS1c1U3_1,2021-10-04 12:51:21,HE1021-902,twr,niedrig,HÄ09MO
KS1a2K4_1,2021-10-04 12:52:17,HE1021-916,twr,,CA31IT
KS2c5U8_1,2021-10-04 12:52:32,HE1021-909,twr,mittel,LI27AN
KS1c1U7_1,2021-10-04 12:53:29,HE1021-902,f,niedrig,HÄ09MO
KD2a4K1_1,2021-10-04 12:54:57,HE1021-907,r,,GI11SI
KS1c1U2_1,2021-10-04 12:55:58,HE1021-902,r,niedrig,HÄ09MO
KD1a2K1_1,2021-10-04 12:56:44,HE1021-904,r,,MA05HE
KS1c1U6_1,2021-10-04 12:56:55,HE1021-902,r,niedrig,HÄ09MO
KS1a4K1_1,2021-10-04 12:57:43,HE1021-914,r,,RE15AN
KS1a4K1_1,2021-10-04 12:57:47,HE1021-916,f,,CA31IT
KS2a1K1_1,2021-10-05 11:09:56,HE1021-916,twr,,CA31IT
KS2a1K1_1,2021-10-05 11:12:09,HE1021-902,r,,HÄ09MO
KS2a1K2_1,2021-10-05 11:12:09,HE1021-916,twr,,CA31IT
KS2a1K3_1,2021-10-05 11:13:37,HE1021-916,r,,CA31IT
KS2a1K4_1,2021-10-05 11:15:42,HE1021-916,twr,,CA31IT
KS3c1U7_1,2021-10-05 11:16:34,HE1021-909,r,mittel,LI27AN
KS2a2K3_1,2021-10-05 11:17:39,HE1021-911,twr,,SA20AN
KS2a1K4_1,2021-10-05 11:18:19,HE1021-902,twr,,HÄ09MO
KD3a2K1_1,2021-10-05 11:20:48,HE1021-901,r,,MA05HE
KS2a3K1_1,2021-10-05 11:21:12,HE1021-911,twr,,SA20AN
KS2a2K1_1,2021-10-05 11:22:24,HE1021-916,r,,CA31IT
KS2a2K1_1,2021-10-05 11:22:33,HE1021-902,r,,HÄ09MO
KS2a2K2_1,2021-10-05 11:24:05,HE1021-902,twr,,HÄ09MO
KS2a2K2_1,2021-10-05 11:24:18,HE1021-916,twr,,CA31IT
KS2a2K3_1,2021-10-05 11:25:46,HE1021-902,r,,HÄ09MO
KD3a2K3_1,2021-10-05 11:26:01,HE1021-901,r,,MA05HE
KS3c2U3_1,2021-10-05 11:26:43,HE1021-909,r,mittel,LI27AN
KS2a2K4_1,2021-10-05 11:26:46,HE1021-902,twr,,HÄ09MO
KS3c2U4_1,2021-10-05 11:28:08,HE1021-909,r,mittel,LI27AN
KD3a2K4_1,2021-10-05 11:28:28,HE1021-901,r,,MA05HE
KS2a3K1_1,2021-10-05 11:28:58,HE1021-902,twr,,HÄ09MO
KS2a1K1_1,2021-10-05 11:30:27,HE1021-908,twr,,AS20UR
KS3c5U8_1,2021-10-05 11:31:32,HE1021-909,r,mittel,LI27AN
KS3c5U9_1,2021-10-05 11:33:04,HE1021-909,r,mittel,LI27AN
KD2a1K2_1,2021-10-05 11:33:31,HE1021-907,r,,GI11SI
KS2a4K1_1,2021-10-05 11:34:11,HE1021-902,r,,HÄ09MO
KS2a2K3_1,2021-10-05 11:34:28,HE1021-916,f,,CA31IT
KS3c4U4_1,2021-10-05 11:34:37,HE1021-909,r,mittel,LI27AN
KD3a3K1_1,2021-10-05 11:36:25,HE1021-901,f,,MA05HE
KS2a4K2_1,2021-10-05 11:36:37,HE1021-902,r,,HÄ09MO
KD3a3K2_1,2021-10-05 11:37:32,HE1021-901,r,,MA05HE
KS2a4K3_1,2021-10-05 11:37:53,HE1021-902,r,,HÄ09MO
KS2a2K4_1,2021-10-05 11:39:21,HE1021-916,r,,CA31IT
KS2c6U7_1,2021-10-05 11:39:25,HE1021-911,f,hoch,SA20AN
KS2a4K4_1,2021-10-05 11:39:32,HE1021-902,f,,HÄ09MO
KS3c4U8_1,2021-10-05 11:41:11,HE1021-909,r,mittel,LI27AN
KD3a3K4_1,2021-10-05 11:41:21,HE1021-901,r,,MA05HE
KS2c6U8_1,2021-10-05 11:41:46,HE1021-911,f,hoch,SA20AN
KS3c4U10_1,2021-10-05 11:42:22,HE1021-909,f,mittel,LI27AN
KS2a5K1_1,2021-10-05 11:42:28,HE1021-902,r,,HÄ09MO
KS2a5K3_1,2021-10-05 11:44:30,HE1021-902,r,,HÄ09MO
KS2a4K1_1,2021-10-05 11:44:48,HE1021-916,r,,CA31IT
KS2a5K4_1,2021-10-05 11:46:11,HE1021-902,r,,HÄ09MO
KD3a4K2_1,2021-10-05 11:48:29,HE1021-901,r,,MA05HE
KS2a4K2_1,2021-10-05 11:50:05,HE1021-916,r,,CA31IT
KS2a4K3_1,2021-10-05 11:55:59,HE1021-916,twr,,CA31IT
KD3a5K1_1,2021-10-05 11:56:30,HE1021-901,r,,MA05HE
KD1a2K1_1,2021-10-05 11:58:18,HE1021-902,f,,HÄ09MO
KD3a5K2_1,2021-10-05 11:58:26,HE1021-901,f,,MA05HE
KD3a5K3_1,2021-10-05 12:00:15,HE1021-901,r,,MA05HE
KD1a2K2_1,2021-10-05 12:00:53,HE1021-902,f,,HÄ09MO
KS2a4K4_1,2021-10-05 12:01:37,HE1021-916,r,,CA31IT
KD1a2K4_1,2021-10-05 12:03:06,HE1021-902,r,,HÄ09MO
KD2a1K2_1,2021-10-05 12:03:14,HE1021-907,r,,GI11SI
KD3c2U5_1,2021-10-05 12:06:10,HE1021-909,r,mittel,LI27AN
KD2a4K2_1,2021-10-05 12:07:21,HE1021-902,f,,HÄ09MO
KD3c2U6_1,2021-10-05 12:08:53,HE1021-909,r,mittel,LI27AN
KD2a2K4_1,2021-10-05 12:10:29,HE1021-907,r,,GI11SI
KD2a1K3_1,2021-10-05 12:14:05,HE1021-902,twr,,HÄ09MO
KS3a7K3_1,2021-10-05 12:14:37,HE1021-911,twr,,SA20AN
KS2a5K1_1,2021-10-05 12:14:42,HE1021-916,twr,,CA31IT
KD3c2U8_1,2021-10-05 12:15:18,HE1021-909,twr,mittel,LI27AN
KS2a1K1_1,2021-10-05 12:17:35,HE1021-901,r,,MA05HE
KD2a1K4_1,2021-10-05 12:18:09,HE1021-902,r,,HÄ09MO
KS2a1K2_1,2021-10-05 12:18:44,HE1021-901,f,,MA05HE
KS2a5K2_1,2021-10-05 12:19:32,HE1021-916,r,,CA31IT
KS2a1K3_1,2021-10-05 12:19:59,HE1021-901,twr,,MA05HE
KS2a1K4_1,2021-10-05 12:20:43,HE1021-901,r,,MA05HE
KS2a5K3_1,2021-10-05 12:23:40,HE1021-916,r,,CA31IT
KD2a3K2_1,2021-10-05 12:25:35,HE1021-902,twr,,HÄ09MO
KD2a3K4_1,2021-10-05 12:26:32,HE1021-902,r,,HÄ09MO
KD2a3K1_1,2021-10-05 12:26:37,HE1021-907,r,,GI11SI
KS3c4U1_1,2021-10-05 12:27:39,HE1021-911,r,niedrig,SA20AN
KS1c1U3_1,2021-10-13 11:54:55,HE1021-937,f,niedrig,KA01MA
KS1a1K2_1,2021-10-13 11:56:38,HE1021-938,r,,HA12BE
KS1a1K1_1,2021-10-13 11:57:35,HE1021-931,twr,,MÜ04KA
KS1a1K3_1,2021-10-13 11:57:39,HE1021-938,twr,,HA12BE
KS1a1K1_1,2021-10-13 11:58:12,HE1021-926,twr,,BA05ZE
KS1a1K1_1,2021-10-13 11:58:30,HE1021-935,twr,,SI17SO
KS1c1U3_1,2021-10-13 11:58:34,HE1021-940,r,niedrig,GR04ST
KS1a1K1_1,2021-10-13 11:59:12,HE1021-929,twr,,RU19YV
KS1a1K1_1,2021-10-13 12:00:17,HE1021-923,f,,HA05AN
KS1c1U3_1,2021-10-13 12:00:20,HE1021-938,r,niedrig,HA12BE
KS1a1K2_1,2021-10-13 12:00:41,HE1021-936,r,,RI09JI
KS1a1K1_1,2021-10-13 12:00:45,HE1021-932,twr,,FR14AN
KS1c1U7_1,2021-10-13 12:01:07,HE1021-940,twr,niedrig,GR04ST
KS1c1U5_1,2021-10-13 12:01:09,HE1021-937,twr,mittel,KA01MA
KS1a1K1_1,2021-10-13 12:01:36,HE1021-928,twr,,FR28JO
KS1c1U1_1,2021-10-13 12:01:38,HE1021-938,r,mittel,HA12BE
KS1a1K2_1,2021-10-13 12:01:56,HE1021-935,r,,SI17SO
KS1a1K3_1,2021-10-13 12:02:08,HE1021-929,f,,RU19YV
KS1c1U3_1,2021-10-13 12:02:11,HE1021-924,twr,niedrig,BE19UT
KS1c1U6_1,2021-10-13 12:02:26,HE1021-937,r,niedrig,KA01MA
KS1a1K1_1,2021-10-13 12:02:35,HE1021-933,r,,SC24SY
KS1a1K4_1,2021-10-13 12:02:55,HE1021-929,r,,RU19YV
KS1a1K1_1,2021-10-13 12:02:57,HE1021-927,twr,,ST01MA
KS1a1K1_1,2021-10-13 12:03:04,HE1021-934,r,,KA16LY
KS1c1U4_1,2021-10-13 12:03:04,HE1021-938,f,mittel,HA12BE
KS1a1K2_1,2021-10-13 12:03:22,HE1021-932,r,,FR14AN
KS1a1K2_1,2021-10-13 12:03:39,HE1021-929,r,,RU19YV
KS1c1U5_1,2021-10-13 12:04:16,HE1021-938,twr,mittel,HA12BE
KS1c1U4_1,2021-10-13 12:04:49,HE1021-924,f,mittel,BE19UT
KS1a1K3_1,2021-10-13 12:04:55,HE1021-928,twr,,FR28JO
KS1a1K3_1,2021-10-13 12:05:14,HE1021-932,twr,,FR14AN
KS1a1K2_1,2021-10-13 12:05:22,HE1021-934,r,,KA16LY
KS1a1K3_1,2021-10-13 12:05:34,HE1021-935,f,,SI17SO
KS1c2U1_1,2021-10-13 12:05:37,HE1021-938,r,niedrig,HA12BE
KS1a1K4_1,2021-10-13 12:06:19,HE1021-932,r,,FR14AN
KS1a1K2_1,2021-10-13 12:06:23,HE1021-933,r,,SC24SY
KS1c2U9_1,2021-10-13 12:06:26,HE1021-938,r,mittel,HA12BE
KS1a1K3_1,2021-10-13 12:07:31,HE1021-934,r,,KA16LY
KS1c2U11_1,2021-10-13 12:07:36,HE1021-938,f,mittel,HA12BE
KS1c1U2_1,2021-10-13 12:07:38,HE1021-940,r,niedrig,GR04ST
KS1a1K4_1,2021-10-13 12:07:42,HE1021-935,twr,,SI17SO
KS1c2U5_1,2021-10-13 12:07:51,HE1021-924,twr,niedrig,BE19UT
KS1a1K4_1,2021-10-13 12:08:16,HE1021-928,r,,FR28JO
KS1c1U3_1,2021-10-13 12:08:52,HE1021-936,r,niedrig,RI09JI
KS1c2U13_1,2021-10-13 12:08:56,HE1021-938,r,mittel,HA12BE
KS1c4U2_1,2021-10-13 12:09:52,HE1021-938,r,niedrig,HA12BE
KS1c1U6_1,2021-10-13 12:10:15,HE1021-940,r,niedrig,GR04ST
