Task,Date/Time,User,ResponsTask,Aufgabenniveau,Code
KS1c2U11_1,2021-10-13 12:52:02,HE1021-932,r,mittel,FR14AN
KS1c2U13_1,2021-10-13 12:52:39,HE1021-932,r,mittel,FR14AN
KS2c1U6_1,2021-10-13 12:52:42,HE1021-924,,niedrig,BE19UT
KS2c1U6_1,2021-10-13 12:52:42,HE1021-924,twr,niedrig,BE19UT
KS2a1K1_1,2021-10-13 12:52:59,HE1021-928,r,,FR28JO
KS1a5K3_1,2021-10-13 12:53:07,HE1021-934,twr,,KA16LY
KS1c2U14_1,2021-10-13 12:53:21,HE1021-932,r,niedrig,FR14AN
KS2c4U1_1,2021-10-13 12:53:48,HE1021-938,r,niedrig,HA12BE
KS1c4U2_1,2021-10-13 12:54:16,HE1021-932,r,niedrig,FR14AN
KS1c4U12_1,2021-10-13 12:54:46,HE1021-932,r,niedrig,FR14AN
KS2c4U8_1,2021-10-13 12:54:55,HE1021-938,twr,mittel,HA12BE
KS1a5K4_1,2021-10-13 12:55:45,HE1021-934,r,,KA16LY
KS1c4U5_1,2021-10-13 12:55:52,HE1021-932,r,niedrig,FR14AN
KS1c4U8_1,2021-10-13 12:57:00,HE1021-932,r,mittel,FR14AN
KS2c4U10_1,2021-10-13 12:57:05,HE1021-938,twr,mittel,HA12BE
KS2a1K2_1,2021-10-13 12:57:27,HE1021-928,f,,FR28JO
KS1c5U8_1,2021-10-13 12:58:04,HE1021-932,r,niedrig,FR14AN
KS3c2U10_1,2021-10-13 12:58:16,HE1021-940,twr,mittel,GR04ST
KS2c4U5_1,2021-10-13 12:58:30,HE1021-938,r,hoch,HA12BE
KS2a1K3_1,2021-10-13 12:59:06,HE1021-928,twr,,FR28JO
KS1c5U1_1,2021-10-13 12:59:25,HE1021-932,r,mittel,FR14AN
KS3c2U1_1,2021-10-13 13:00:03,HE1021-940,r,mittel,GR04ST
KS1c5U7_1,2021-10-13 13:00:04,HE1021-932,twr,niedrig,FR14AN
KS2c5U8_1,2021-10-13 13:00:54,HE1021-938,r,mittel,HA12BE
KS1c5U2_1,2021-10-13 13:00:59,HE1021-932,r,mittel,FR14AN
KS2a2K1_1,2021-10-13 13:01:42,HE1021-928,r,,FR28JO
KS2c1U1_1,2021-10-13 13:01:45,HE1021-924,twr,mittel,BE19UT
KS1c5U6_1,2021-10-13 13:02:02,HE1021-932,twr,hoch,FR14AN
KS2c5U9_1,2021-10-13 13:02:33,HE1021-938,r,mittel,HA12BE
